ITEM,AGENCIA,ALMACEN,GRUPO,CLASE,FAMILIA,PRODUCTO,VARIACION,MEDIDA,MODELO,MARCA,TIPO,CANTIDAD TOTAL,CANTIDAD,UNIDAD,TIPO,SERIE/LOTE,SERIE/LOTE ADICIONAL,COSTO S/,VALOR S/,FECHA INGRESO,DIAS ALMACEN
31,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  22"" NT5860 CRAFTOP",,"22""",NT5860,CRAFTOP,PRODUCTO,4,1,U. MIN,GENERAL,#63 210530390,,373.50623,373.50623,17-11-2021,908
32,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  24"" NT6020 CRAFTOP",,"24""",NT6020,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#23 210322069,,850.7092,850.7092,28-10-2021,928
33,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,PULVERIZADOR,PULVERIZADOR   GMD420 CRAFTOP,,,GMD420,CRAFTOP,PRODUCTO,2,1,U. MIN,GENERAL,#41 082020090149,,651.915178,651.915178,01-08-2021,1016
34,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,PULVERIZADOR,PULVERIZADOR   GMD420 CRAFTOP,,,GMD420,CRAFTOP,PRODUCTO,2,1,U. MIN,GENERAL,#43 082020080022,,651.915178,651.915178,01-08-2021,1016
35,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,MERCHANDISING,GORRO,GORRO    CRAFTOP,,,,CRAFTOP,PRODUCTO,3,3,U. MIN,,,,2.158933,6.476799,,
36,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,ACCESORIOS,CADENA,"CADENA 42 DIENTES 3/8 24"" NT6260 CRAFTOP",42 DIENTES 3/8,"24""",NT6260,CRAFTOP,PRODUCTO,6,6,U. MIN,,,,47.21,283.26,,
37,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,ACCESORIOS,CADENA,"CADENA 43 DIENTES 0.325 22"" NT5860 CRAFTOP",43 DIENTES 0.325,"22""",NT5860,CRAFTOP,PRODUCTO,12,12,U. MIN,,,,28.601504,343.218048,,
38,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,ACCESORIOS,CUCHILLA,CUCHILLA 2 PUNTAS 350MMX2.0MMX25.4MMX2T   CRAFTOP,2 PUNTAS 350MMX2.0MMX25.4MMX2T,,,CRAFTOP,PRODUCTO,10,10,U. MIN,,,,5.930999,59.30999,,
39,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,CORTADORA Y PODADORA,CORTADORA Y PODADORA   NTMU430D41N1 CRAFTOP,,,NTMU430D41N1,CRAFTOP,PRODUCTO,1,1,U. MIN,,B211037476,,660.280764,660.280764,27-02-2024,76
40,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA   NTB520D CRAFTOP,,,NTB520D,CRAFTOP,PRODUCTO,2,1,U. MIN,GENERAL,#182 210518318B,,395.69009,395.69009,27-02-2024,76
